The S-parameters of DUT is:
gam:S11        ang:S11        gam:S12        ang:S12        gam:S21        ang:S21        gam:S22        ang:S22        
0.92708        -36.26         0.0488         62.67          0.44384        119.3          0.86805        -32.08         

Pt        X         Y         gamma_s        angle          gamma_in       angle          
416       1558      6115      0.41043        -12.01371      0.85693        -32.09578      
417       1640      6115      0.40908        -18.16118      0.85753        -32.0098       
418       1722      6115      0.40818        -24.25655      0.85821        -31.9374       
419       1804      6115      0.40784        -30.43172      0.85894        -31.87546      
420       1886      6115      0.40717        -36.51353      0.85969        -31.82518      
421       1968      6115      0.40734        -42.72049      0.86045        -31.78202      
422       2050      6115      0.4074         -48.78138      0.86119        -31.74766      
423       2132      6115      0.40808        -54.88166      0.86191        -31.71889      
424       2214      6115      0.40896        -60.99155      0.86261        -31.69548      
425       2296      6115      0.41067        -67.03312      0.86328        -31.67622      
426       2378      6115      0.41211        -73.10621      0.86394        -31.66128      
427       2460      6115      0.41419        -79.12795      0.86457        -31.64937      
428       2542      6115      0.41631        -85.05937      0.86517        -31.64062      
429       2624      6115      0.41901        -91.00853      0.86576        -31.63398      
430       2706      6115      0.42137        -96.81411      0.86631        -31.63004      
431       2788      6115      0.42427        -102.73414     0.86686        -31.6277       
432       2870      6115      0.42702        -108.50259     0.86739        -31.62735      
433       2952      6115      0.42978        -114.24446     0.8679         -31.62863      
434       3034      6115      0.43252        -120.01351     0.8684         -31.63148      
435       3116      6115      0.43576        -125.6498      0.86888        -31.63527      
436       3198      6115      0.43861        -131.34177     0.86936        -31.64075      
437       3280      6115      0.44152        -136.95351     0.86982        -31.64738      
438       3362      6115      0.44422        -142.54385     0.87028        -31.65535      
439       3444      6115      0.44711        -148.12802     0.87073        -31.66442      
440       3526      6115      0.44956        -153.62694     0.87117        -31.67483      
441       3608      6115      0.45209        -159.15622     0.87161        -31.6865       
442       3690      6115      0.45445        -164.61409     0.87204        -31.69938      
443       3772      6115      0.45651        -170.13978     0.87247        -31.71398      
444       3854      6115      0.45822        -175.58468     0.8729         -31.72999      
445       3936      6115      0.45992        178.97265      0.87332        -31.7475       
446       4018      6115      0.46163        173.4831       0.87375        -31.76683      
