The S-parameters of DUT is:
gam:S11        ang:S11        gam:S12        ang:S12        gam:S21        ang:S21        gam:S22        ang:S22        
0.9334         -31.97         0.04727        71.77          0.45835        126.66         0.87881        -28.13         

Pt        X         Y         gamma_l        angle          gamma_out      angle          
348       3077      7396      0.33129        136.65902      0.93934        -31.82925      
349       3258      7396      0.33302        124.40281      0.94002        -31.89493      
350       3439      7396      0.33637        112.16025      0.94059        -31.97433      
351       3620      7396      0.34117        100.12686      0.941          -32.06861      
352       3801      7396      0.347          88.26915       0.94114        -32.17965      
353       3982      7396      0.35354        76.58444       0.94084        -32.30691      
354       4163      7396      0.36069        65.15756       0.93993        -32.44409      
355       4344      7396      0.36778        53.87758       0.9382         -32.5779       
356       4525      7396      0.37514        42.79441       0.93557        -32.68402      
357       4706      7396      0.3819         31.9375        0.93224        -32.73034      
358       4887      7396      0.38808        21.26877       0.92875        -32.69655      
359       5068      7396      0.39345        10.71838       0.92577        -32.58602      
360       5249      7396      0.39789        0.27538        0.92378        -32.42716      
361       5430      7396      0.40205        -10.13436      0.92282        -32.25471      
362       5611      7396      0.40438        -20.42181      0.92277        -32.09558      
363       5792      7396      0.40598        -30.68857      0.9233         -31.96109      
364       5973      7396      0.40688        -40.91765      0.92415        -31.85363      
365       6154      7396      0.4063         -51.08699      0.92518        -31.77148      
366       6335      7396      0.40485        -61.24317      0.92626        -31.70967      
367       6516      7396      0.40246        -71.41462      0.92736        -31.66419      
368       6697      7396      0.39894        -81.64664      0.92843        -31.63182      
369       6878      7396      0.3946         -91.95276      0.92946        -31.60983      
370       7059      7396      0.38922        -102.36382     0.93046        -31.59653      
371       7240      7396      0.38325        -112.8904      0.93142        -31.59027      
372       7421      7396      0.3765         -123.5567      0.93234        -31.59038      
373       7602      7396      0.36958        -134.44806     0.93324        -31.59589      
374       7783      7396      0.36251        -145.53463     0.93411        -31.6067       
375       7964      7396      0.35558        -156.85313     0.93496        -31.62275      
376       8145      7396      0.34932        -168.42648     0.9358         -31.64407      
377       8326      7396      0.3438         179.72183      0.93663        -31.67137      
378       8507      7396      0.34006        167.60741      0.93745        -31.70493      
379       8688      7396      0.33713        155.44913      0.93825        -31.74609      
380       8869      7396      0.33633        143.14418      0.93902        -31.79583      
381       9050      7396      0.33714        130.85691      0.93975        -31.85584      
382       9231      7396      0.33929        118.65683      0.94039        -31.9281       
383       9412      7396      0.34355        106.49688      0.94092        -32.01512      
384       9593      7396      0.34828        94.56818       0.94122        -32.11829      
385       9774      7396      0.35473        82.68226       0.94119        -32.24023      
386       9955      7396      0.36113        71.13703       0.94063        -32.37526      
387       10136     7396      0.36828        59.73353       0.93933        -32.51673      
388       10317     7396      0.37551        48.53792       0.93713        -32.64408      
389       10498     7396      0.38228        37.50918       0.93404        -32.72668      
390       10679     7396      0.38883        26.63916       0.93045        -32.73533      
391       10860     7396      0.39457        15.91525       0.92704        -32.65782      
392       11041     7396      0.39958        5.30788        0.92446        -32.51339      
393       11222     7396      0.40382        -5.21135       0.92301        -32.3385       
394       11403     7396      0.40708        -15.62791      0.92258        -32.1669       
395       11584     7396      0.40943        -25.97121      0.92288        -32.01743      
396       11765     7396      0.41064        -36.27848      0.92364        -31.89604      
397       0         7473      0.43907        -37.78982      0.92315        -31.85684      
