Pt(L1742) X         Y         NF(dB)         GAIN(dB)       NFcorr(dB)     Gins(dB)       gams           angle          
301       3000      5968      14.56836       -0.0887        16.955936      -8.2789497     0.35954        99.56338       
302       3100      5968      14.18877       0.30961        16.567463      -7.8797708     0.3557         94.06995       
303       3200      5968      14.01296       0.50779        16.392338      -7.6831732     0.35112        88.44081       
304       3300      5968      13.67626       0.86117        16.051279      -7.3309174     0.34644        82.88651       
305       3400      5968      13.41288       1.13216        15.787113      -7.0607038     0.34123        77.15256       
306       3500      5968      13.14017       1.38575        15.515524      -6.8073788     0.33599        71.40314       
307       3600      5968      12.96295       1.56945        15.339631      -6.6256728     0.33028        65.52578       
308       3700      5968      12.76432       1.75512        15.143777      -6.4412642     0.32438        59.62925       
309       3800      5968      12.67395       1.88006        15.050913      -6.3174105     0.31883        53.56517       
310       3900      5968      12.55057       1.93143        14.936939      -6.2665777     0.31299        47.48619       
311       4000      5968      12.46851       1.98388        14.859199      -6.2149496     0.30697        41.22943       
312       4100      5968      12.43          1.99506        14.824746      -6.2048001     0.30141        34.89204       
313       4200      5968      12.48194       1.8984         14.884664      -6.3023257     0.29577        28.38939       
314       4300      5968      12.64453       1.71921        15.052613      -6.4811401     0.29047        21.80817       
315       4400      5968      12.74546       1.56438        15.161865      -6.6373854     0.28551        15.01166       
316       4500      5968      12.79535       1.45854        15.216532      -6.7424159     0.28103        8.15842        
317       4600      5968      13.01829       1.22307        15.444677      -6.9788418     0.27727        1.15865        
318       4700      5968      13.2969        0.92621        15.72898       -7.2745357     0.27405        -5.91423       
319       4800      5968      13.64243       0.58133        16.081999      -7.6204901     0.27152        -13.07703      
320       4900      5968      13.82819       0.36038        16.271498      -7.8397903     0.2697         -20.3277       
321       5000      5968      14.01281       0.13618        16.464794      -8.0658655     0.26867        -27.5836       
322       5100      5968      14.42292       -0.27022       16.882801      -8.4714003     0.26819        -34.88601      
323       5200      5968      14.67023       -0.53139       17.134558      -8.7314386     0.26871        -42.17226      
324       5300      5968      14.95955       -0.81572       17.427591      -9.0142145     0.26996        -49.44005      
325       5400      5968      15.21001       -1.08903       17.684057      -9.2866812     0.27218        -56.68127      
326       5500      5968      15.37662       -1.28898       17.858829      -9.4873362     0.27438        -63.77837      
327       5600      5968      15.69193       -1.57944       18.177521      -9.7776871     0.27784        -70.8114       
328       5700      5968      15.87688       -1.78582       18.366089      -9.9816866     0.28198        -77.73274      
329       5800      5968      16.09426       -2.00889       18.589512      -10.205644     0.28634        -84.5581       
330       5900      5968      16.31088       -2.22847       18.810762      -10.42374      0.29065        -91.25601      
331       0         6044      16.54002       -2.5247        19.076462      -10.735404     0.33908        -89.99048      
