The S-parameters of DUT is:
gam:S11        ang:S11        gam:S12        ang:S12        gam:S21        ang:S21        gam:S22        ang:S22        
0.9334         -31.97         0.04727        71.77          0.45835        126.66         0.87881        -28.13         

Pt        X         Y         gamma_s        angle          gamma_in       angle          
362       2790      6044      0.40704        109.21942      0.88773        -28.15209      
363       2880      6044      0.40438        104.26355      0.88791        -28.20282      
364       2970      6044      0.4015         99.23041       0.88803        -28.25861      
365       3060      6044      0.39818        94.19567       0.88806        -28.31868      
366       3150      6044      0.39417        89.13972       0.88797        -28.3828       
367       3240      6044      0.39064        84.03966       0.88776        -28.45067      
368       3330      6044      0.3862         78.93117       0.88739        -28.52038      
369       3420      6044      0.38164        73.70701       0.88682        -28.59181      
370       3510      6044      0.37706        68.51607       0.88607        -28.66059      
371       3600      6044      0.37189        63.19306       0.88508        -28.72503      
372       3690      6044      0.36709        57.88213       0.88391        -28.78096      
373       3780      6044      0.36189        52.43119       0.88252        -28.82477      
374       3870      6044      0.35694        47.01152       0.88101        -28.8525       
375       3960      6044      0.35156        41.42217       0.87938        -28.8608       
376       4050      6044      0.34691        35.75698       0.87774        -28.85068      
377       4140      6044      0.34164        30.05979       0.87619        -28.81846      
378       4230      6044      0.33656        24.26667       0.87479        -28.76871      
379       4320      6044      0.3317         18.37255       0.87359        -28.70478      
380       4410      6044      0.32804        12.38544       0.87259        -28.63264      
381       4500      6044      0.32415        6.35466        0.87185        -28.55377      
382       4590      6044      0.32042        0.22026        0.87135        -28.47239      
383       4680      6044      0.31753        -5.95651       0.87105        -28.3929       
384       4770      6044      0.31514        -12.24118      0.87093        -28.31615      
385       4860      6044      0.31342        -18.50068      0.87096        -28.24505      
386       4950      6044      0.31141        -24.88328      0.87114        -28.17892      
387       5040      6044      0.31057        -31.24069      0.87139        -28.1193       
388       5130      6044      0.30986        -37.64381      0.87173        -28.06574      
389       5220      6044      0.31092        -44.02384      0.87209        -28.01737      
390       5310      6044      0.31206        -50.39577      0.87251        -27.97471      
391       5400      6044      0.31383        -56.72992      0.87294        -27.93707      
392       5490      6044      0.3157         -62.97778      0.8734         -27.90462      
393       5580      6044      0.31839        -69.23062      0.87387        -27.87575      
394       5670      6044      0.32192        -75.34518      0.87433        -27.85054      
395       5760      6044      0.32486        -81.46903      0.87481        -27.82936      
396       5850      6044      0.32914        -87.45974      0.87528        -27.81044      
397       0         6115      0.38062        -89.93889      0.87523        -27.75794      
398       82        6115      0.3841         -95.32918      0.8757         -27.74562      
399       164       6115      0.38759        -100.65549     0.87617        -27.73545      
400       246       6115      0.3914         -105.93985     0.87662        -27.72692      
401       328       6115      0.39546        -111.04345     0.87706        -27.72         
402       410       6115      0.39986        -116.21004     0.8775         -27.71429      
403       492       6115      0.4036         -121.24392     0.87792        -27.71053      
404       574       6115      0.40773        -126.2964      0.87834        -27.70774      
405       656       6115      0.41166        -131.30064     0.87876        -27.7063       
406       738       6115      0.4157         -136.24903     0.87917        -27.70588      
407       820       6115      0.41975        -141.18031     0.87958        -27.70652      
408       902       6115      0.42357        -145.99827     0.87998        -27.70824      
409       984       6115      0.42738        -150.89248     0.88038        -27.71104      
410       1066      6115      0.431          -155.64747     0.88077        -27.71477      
411       1148      6115      0.43459        -160.39891     0.88117        -27.71947      
412       1230      6115      0.43761        -165.13154     0.88156        -27.72548      
413       1312      6115      0.44051        -169.7974      0.88194        -27.7324       
414       1394      6115      0.44323        -174.49085     0.88233        -27.74049      
415       1476      6115      0.44578        -179.11001     0.88272        -27.74954      
416       1558      6115      0.44776        176.24687      0.8831         -27.7601       
417       1640      6115      0.4497         171.61068      0.88349        -27.77181      
418       1722      6115      0.45155        167.0467       0.88388        -27.78456      
419       1804      6115      0.45318        162.40174      0.88428        -27.79902      
420       1886      6115      0.45389        157.83303      0.88466        -27.81525      
421       1968      6115      0.45484        153.2221       0.88506        -27.83301      
422       2050      6115      0.45521        148.64114      0.88545        -27.85273      
423       2132      6115      0.45555        144.10708      0.88584        -27.87408      
424       2214      6115      0.4555         139.50376      0.88623        -27.89808      
425       2296      6115      0.45533        134.93495      0.88662        -27.92423      
426       2378      6115      0.45472        130.33836      0.887          -27.95336      
427       2460      6115      0.454          125.76082      0.88737        -27.98522      
428       2542      6115      0.45288        121.19168      0.88773        -28.02033      
429       2624      6115      0.45167        116.5967       0.88808        -28.05909      
430       2706      6115      0.45           112.06375      0.8884         -28.10127      
431       2788      6115      0.44803        107.42013      0.88869        -28.14871      
432       2870      6115      0.44578        102.86138      0.88893        -28.19976      
433       2952      6115      0.4432         98.24249       0.88912        -28.25622      
434       3034      6115      0.44043        93.54104       0.88923        -28.31862      
435       3116      6115      0.43721        88.94781       0.88925        -28.38443      
436       3198      6115      0.43412        84.20714       0.88915        -28.45692      
437       3280      6115      0.43046        79.54284       0.88891        -28.53206      
438       3362      6115      0.42672        74.81528       0.88849        -28.61087      
439       3444      6115      0.42284        70.01684       0.88787        -28.69176      
440       3526      6115      0.41851        65.25197       0.88702        -28.76978      
441       3608      6115      0.41438        60.40051       0.88593        -28.84441      
442       3690      6115      0.4096         55.53028       0.88458        -28.90862      
443       3772      6115      0.40507        50.60732       0.88302        -28.9602       
444       3854      6115      0.40077        45.62592       0.88128        -28.99498      
445       3936      6115      0.39635        40.6025        0.87942        -29.00819      
446       4018      6115      0.39165        35.49838       0.87754        -28.99717      
