The S-parameters of DUT is:
gam:S11        ang:S11        gam:S12        ang:S12        gam:S21        ang:S21        gam:S22        ang:S22        
0.93067        -33.36         0.04836        69.17          0.45393        124.11         0.87347        -29.5          

Pt        X         Y         gamma_s        angle          gamma_in       angle          
217       0         5884      0.30191        99.85283       0.88016        -29.66864      
218       111       5884      0.30066        92.82625       0.87997        -29.73161      
219       222       5884      0.2993         85.66547       0.87962        -29.79777      
220       333       5884      0.29772        78.551         0.87907        -29.86324      
221       444       5884      0.29645        71.36887       0.87832        -29.92669      
222       555       5884      0.29531        64.15812       0.87734        -29.98398      
223       666       5884      0.29354        57.00682       0.87615        -30.02862      
224       777       5884      0.2929         49.75189       0.87479        -30.06099      
225       888       5884      0.29144        42.54767       0.87332        -30.07208      
226       999       5884      0.29001        35.25058       0.87181        -30.06187      
227       1110      5884      0.28878        27.97025       0.87038        -30.03081      
228       1221      5884      0.28756        20.69197       0.86911        -29.98091      
229       1332      5884      0.28674        13.44674       0.86805        -29.91749      
230       1443      5884      0.28591        6.12263        0.86725        -29.84362      
231       1554      5884      0.2853         -1.1817        0.86671        -29.76559      
232       1665      5884      0.28477        -8.47033       0.86642        -29.68755      
233       1776      5884      0.28389        -15.86732      0.86635        -29.61153      
234       1887      5884      0.28342        -23.13509      0.86645        -29.54234      
235       1998      5884      0.28344        -30.52495      0.86668        -29.47846      
236       2109      5884      0.28335        -37.79637      0.86702        -29.42268      
237       2220      5884      0.28342        -45.17584      0.86744        -29.37311      
238       2331      5884      0.2835         -52.45509      0.86791        -29.33096      
239       2442      5884      0.28403        -59.75827      0.86841        -29.29456      
240       2553      5884      0.28444        -67.03413      0.86893        -29.26411      
241       2664      5884      0.28522        -74.27032      0.86947        -29.23859      
242       2775      5884      0.28594        -81.5019       0.87001        -29.21775      
243       2886      5884      0.28719        -88.70213      0.87054        -29.20059      
244       2997      5884      0.28824        -95.89917      0.87108        -29.18735      
245       3108      5884      0.28917        -103.02167     0.87161        -29.17767      
246       3219      5884      0.29049        -110.18884     0.87213        -29.17059      
247       3330      5884      0.29149        -117.27419     0.87265        -29.16666      
248       3441      5884      0.29239        -124.34036     0.87315        -29.16538      
249       3552      5884      0.29327        -131.34506     0.87365        -29.16649      
250       3663      5884      0.29444        -138.40345     0.87414        -29.16965      
251       3774      5884      0.29559        -145.3839      0.87462        -29.175        
252       3885      5884      0.29665        -152.36034     0.87509        -29.18258      
253       3996      5884      0.29748        -159.33676     0.87556        -29.19253      
254       4107      5884      0.29825        -166.26981     0.87601        -29.20465      
255       4218      5884      0.29879        -173.17302     0.87646        -29.21914      
256       4329      5884      0.29897        179.94316      0.87689        -29.23618      
257       4440      5884      0.29975        173.00648      0.87732        -29.25536      
258       4551      5884      0.29993        166.12827      0.87773        -29.27746      
259       4662      5884      0.30003        159.21804      0.87813        -29.30253      
260       4773      5884      0.30004        152.3166       0.87852        -29.33066      
261       4884      5884      0.29997        145.45206      0.87887        -29.36193      
262       4995      5884      0.29928        138.54206      0.8792         -29.39729      
263       5106      5884      0.29861        131.6074       0.87949        -29.43651      
264       5217      5884      0.2982         124.64814      0.87973        -29.47974      
265       5328      5884      0.29732        117.72249      0.87991        -29.52707      
266       5439      5884      0.29642        110.72576      0.88002        -29.57905      
267       5550      5884      0.29499        103.74564      0.88001        -29.63486      
268       5661      5884      0.2947         96.7           0.87992        -29.69481      
