The S-parameters of DUT is:
gam:S11        ang:S11        gam:S12        ang:S12        gam:S21        ang:S21        gam:S22        ang:S22        
0.93067        -33.36         0.04836        69.17          0.45393        124.11         0.87347        -29.5          

Pt        X         Y         gamma_l        angle          gamma_out      angle          
335       724       7396      0.41158        96.77595       0.94011        -33.51971      
336       905       7396      0.41772        86.17086       0.94029        -33.64951      
337       1086      7396      0.42233        75.69911       0.93994        -33.79983      
338       1267      7396      0.42506        65.30897       0.93878        -33.96287      
339       1448      7396      0.42624        54.91233       0.93656        -34.11943      
340       1629      7396      0.42545        44.57229       0.93323        -34.23151      
341       1810      7396      0.42319        34.10744       0.92911        -34.2602       
342       1991      7396      0.41912        23.61634       0.92509        -34.18282      
343       2172      7396      0.41357        13.03524       0.92205        -34.02059      
344       2353      7396      0.40668        2.30425        0.92037        -33.82009      
345       2534      7396      0.39868        -8.58592       0.91993        -33.62471      
346       2715      7396      0.39021        -19.70288      0.92033        -33.45707      
347       2896      7396      0.38093        -31.03399      0.92124        -33.32414      
348       3077      7396      0.37116        -42.61885      0.9224         -33.22334      
349       3258      7396      0.36207        -54.47103      0.92364        -33.14853      
350       3439      7396      0.353          -66.69028      0.92491        -33.09459      
351       3620      7396      0.34541        -79.16091      0.92613        -33.0566       
352       3801      7396      0.33932        -91.90049      0.92731        -33.03111      
353       3982      7396      0.33482        -104.90505     0.92844        -33.01577      
354       4163      7396      0.33237        -118.04781     0.92953        -33.0087       
355       4344      7396      0.332          -131.31561     0.93058        -33.00879      
356       4525      7396      0.33454        -144.53358     0.9316         -33.01468      
357       4706      7396      0.33899        -157.58818     0.93259        -33.02669      
358       4887      7396      0.34533        -170.37696     0.93355        -33.04452      
359       5068      7396      0.3532         177.12737      0.9345         -33.06846      
360       5249      7396      0.36244        164.89498      0.93544        -33.0991       
361       5430      7396      0.37254        152.8931       0.93638        -33.13774      
362       5611      7396      0.38229        141.30765      0.93728        -33.18551      
363       5792      7396      0.39211        129.90318      0.93816        -33.24469      
364       5973      7396      0.40169        118.80048      0.93899        -33.31691      
365       6154      7396      0.41025        107.89472      0.93972        -33.40578      
366       6335      7396      0.41779        97.19232       0.94026        -33.51396      
367       6516      7396      0.42383        86.62115       0.94048        -33.64438      
368       6697      7396      0.4283         76.1283        0.94017        -33.79711      
369       6878      7396      0.4312         65.66912       0.93905        -33.96539      
370       7059      7396      0.4321         55.21847       0.93682        -34.12817      
371       7240      7396      0.43112        44.78701       0.9334         -34.24699      
372       7421      7396      0.4285         34.30015       0.92917        -34.27853      
373       7602      7396      0.42454        23.74991       0.92501        -34.20075      
374       7783      7396      0.41884        13.0909        0.92187        -34.0327       
375       7964      7396      0.41178        2.28278        0.92016        -33.82511      
376       8145      7396      0.40375        -8.65665       0.91973        -33.6246       
377       8326      7396      0.39467        -19.81848      0.92019        -33.4539       
378       8507      7396      0.38535        -31.29973      0.92115        -33.31828      
379       8688      7396      0.37562        -42.89491      0.92234        -33.21733      
380       8869      7396      0.36622        -54.82968      0.92361        -33.14258      
381       9050      7396      0.35725        -67.0281       0.92489        -33.08916      
382       9231      7396      0.34923        -79.5114       0.92613        -33.05199      
383       9412      7396      0.34303        -92.32113      0.92733        -33.02692      
384       9593      7396      0.33833        -105.28079     0.92847        -33.01226      
385       9774      7396      0.33607        -118.53917     0.92957        -33.00537      
386       9955      7396      0.33589        -131.73681     0.93062        -33.00572      
387       10136     7396      0.33807        -144.99762     0.93164        -33.0123       
388       10317     7396      0.3428         -158.07659     0.93264        -33.02451      
389       10498     7396      0.34927        -171.00195     0.93362        -33.04293      
390       10679     7396      0.35762        176.42148      0.93458        -33.06724      
391       10860     7396      0.3668         164.0988       0.93554        -33.09885      
392       11041     7396      0.37672        152.16445      0.93647        -33.1381       
393       11222     7396      0.38699        140.48953      0.9374         -33.18686      
394       11403     7396      0.39694        129.11229      0.93829        -33.24697      
395       11584     7396      0.40653        117.94585      0.93913        -33.32116      
396       11765     7396      0.41489        107.01949      0.93986        -33.41233      
397       0         7473      0.41798        140.71423      0.93776        -33.16646      
398       164       7473      0.4268         130.38839      0.93864        -33.22142      
399       328       7473      0.43533        120.27941      0.93948        -33.28791      
400       492       7473      0.44301        110.28448      0.94027        -33.36939      
401       656       7473      0.44978        100.39697      0.94094        -33.469        
402       820       7473      0.45585        90.63471       0.94141        -33.58966      
403       984       7473      0.46047        80.95485       0.9415         -33.73425      
404       1148      7473      0.46381        71.37599       0.941          -33.90109      
